"module","condition","model","parameter","true_value","mean_est","median_est","sd_est","bias","rel_bias_pct","rmse","coverage_95","n_valid","n_runs","elapsed_min","dgp","spec"
"M1b","DGP=homophily, Spec=spec_H","spec_H","edu_diff",-1.5,-1.50536600737404,-1.50576270829637,0.053035466075834,-0.0053660073740438,-0.357733824936253,0.0533062350670091,0.94,200,200,0.86,"homophily","spec_H"
"M1b","DGP=homophily, Spec=spec_H","spec_H","same_group",0.8,0.803443670334756,0.80816963072402,0.0934536591226159,0.00344367033475557,0.430458791844446,0.0935170854377989,0.94,200,200,0.86,"homophily","spec_H"
"M1b","DGP=homophily, Spec=spec_S","spec_S","alt_edu",0,0.00156102012299452,0.00198614790453112,0.00605994800720392,0.00156102012299452,Inf,0.00625777545733375,1,200,200,0.86,"homophily","spec_S"
"M1b","DGP=homophily, Spec=spec_S","spec_S","same_group",0.8,1.03653114910306,1.03499609661094,0.0975496773569433,0.236531149103056,29.566393637882,0.255857233723137,0.21,200,200,0.86,"homophily","spec_S"
"M1b","DGP=homophily, Spec=spec_M","spec_M","edu_diff",-1.5,-1.50671248774799,-1.50751123483867,0.053142112066589,-0.00671248774799005,-0.447499183199337,0.0535643684426954,0.945,200,200,0.87,"homophily","spec_M"
"M1b","DGP=homophily, Spec=spec_M","spec_M","alt_edu",0,-0.00143093088645985,0.000673296265104693,0.0377074005683232,-0.00143093088645985,-Inf,0.0377345414815366,0.96,200,200,0.87,"homophily","spec_M"
"M1b","DGP=homophily, Spec=spec_M","spec_M","same_group",0.8,0.803566459323321,0.808731230332856,0.0932659202289151,0.00356645932332056,0.44580741541507,0.0933340854578393,0.94,200,200,0.87,"homophily","spec_M"
"M1b","DGP=status_max, Spec=spec_H","spec_H","edu_diff",0,0.126847012198388,0.123625702601063,0.027701945666355,0.126847012198388,Inf,0.129836675470992,0,200,200,0.86,"status_max","spec_H"
"M1b","DGP=status_max, Spec=spec_H","spec_H","same_group",0.8,0.712901495287908,0.715610137012194,0.0812101742842604,-0.087098504712092,-10.8873130890115,0.119085019756316,0.78,200,200,0.86,"status_max","spec_H"
"M1b","DGP=status_max, Spec=spec_S","spec_S","alt_edu",0.5,0.500673337753838,0.499122119887157,0.0179601770371666,0.000673337753838044,0.134667550767609,0.0179727945221969,0.93,200,200,0.87,"status_max","spec_S"
"M1b","DGP=status_max, Spec=spec_S","spec_S","same_group",0.8,0.797807056936672,0.804588586763171,0.0773981885097619,-0.00219294306332785,-0.274117882915981,0.0774292488913048,0.97,200,200,0.87,"status_max","spec_S"
"M1b","DGP=status_max, Spec=spec_M","spec_M","edu_diff",0,0.00016379773982272,-0.00273449241562061,0.0268408644251148,0.00016379773982272,Inf,0.0268413642124793,0.955,200,200,0.87,"status_max","spec_M"
"M1b","DGP=status_max, Spec=spec_M","spec_M","alt_edu",0.5,0.500960506437935,0.499330981323284,0.0211452089218383,0.000960506437934883,0.192101287586977,0.0211670128493726,0.96,200,200,0.87,"status_max","spec_M"
"M1b","DGP=status_max, Spec=spec_M","spec_M","same_group",0.8,0.798153018665933,0.803183324633084,0.0773109669512485,-0.00184698133406691,-0.230872666758364,0.0773330262629456,0.97,200,200,0.87,"status_max","spec_M"
"M1b","DGP=mixed, Spec=spec_H","spec_H","edu_diff",-1.5,-1.2681610669288,-1.26712751805377,0.0448126924400911,0.231838933071197,15.4559288714131,0.236130193519002,0,200,200,0.84,"mixed","spec_H"
"M1b","DGP=mixed, Spec=spec_H","spec_H","same_group",0.8,0.761460026840928,0.759865564185384,0.0895703598115031,-0.0385399731590725,-4.81749664488407,0.0975098912309114,0.905,200,200,0.84,"mixed","spec_H"
"M1b","DGP=mixed, Spec=spec_S","spec_S","alt_edu",0.5,0.0775316241357765,0.0772453647136215,0.00770711388237972,-0.422468375864223,-84.4936751728447,0.422538670667846,0,200,200,0.83,"mixed","spec_S"
"M1b","DGP=mixed, Spec=spec_S","spec_S","same_group",0.8,1.01886415625237,1.01557960873345,0.0918536735319715,0.21886415625237,27.3580195315463,0.237357570415144,0.225,200,200,0.83,"mixed","spec_S"
"M1b","DGP=mixed, Spec=spec_M","spec_M","edu_diff",-1.5,-1.50780412390963,-1.50458640171194,0.0523031876388474,-0.00780412390963203,-0.520274927308802,0.0528822067162611,0.98,200,200,0.84,"mixed","spec_M"
"M1b","DGP=mixed, Spec=spec_M","spec_M","alt_edu",0.5,0.499107204526798,0.497134782338861,0.0409286552646198,-0.00089279547320209,-0.178559094640418,0.0409383915845146,0.95,200,200,0.84,"mixed","spec_M"
"M1b","DGP=mixed, Spec=spec_M","spec_M","same_group",0.8,0.809941744841339,0.809507801527366,0.0911086564949242,0.00994174484133847,1.24271810516731,0.0916494712412482,0.935,200,200,0.84,"mixed","spec_M"
