"part","matching_type","stage","parameter","true_value","mean_est","bias","rmse","coverage_95","mediation_pct","mediation_sd"
"I","one_sided","A","edu_diff",-1,-1.00192411740233,-0.00192411740232945,0.052320546955845,0.935,21.4344210719173,1.72869148782872
"I","one_sided","A","same_wp",1.5,1.5034795062105,0.00347950621049953,0.0756615158574778,0.945,21.4344210719173,1.72869148782872
"I","one_sided","B","edu_diff",-1,-0.959581427831236,0.0404185721687643,0.0599334952587274,0.845,23.3477226068526,1.95035070194542
"I","one_sided","B","same_wp",1.5,1.68774205423562,0.187742054235618,0.209903357400674,0.33,23.3477226068526,1.95035070194542
"I","one_sided","C","edu_diff",-1,-0.973750645854461,0.0262493541455393,0.0538694377987328,0.92,23.4214509597869,2.17256216447119
"I","one_sided","C","same_wp",1.5,1.67175420574959,0.171754205749592,0.19674901051883,0.38,23.4214509597869,2.17256216447119
"I","one_sided","D","edu_diff",-1,-0.978879988000474,0.0211200119995264,0.0488772185048471,0.925,21.7373658523194,1.90996330965665
"I","one_sided","D","same_wp",1.5,1.70549509349664,0.205495093496635,0.228011809727954,0.325,21.7373658523194,1.90996330965665
"I","bilateral","A","edu_diff",-1,-1.44472941999883,-0.444729419998825,0.452155341132539,0.005,21.0230760045627,2.36099904825546
"I","bilateral","A","same_wp",1.5,1.6043203884504,0.104320388450404,0.146078003675021,0.615,21.0230760045627,2.36099904825546
"I","bilateral","B","edu_diff",-1,-1.45500120663605,-0.455001206636049,0.465671439817413,0,26.844052619698,2.6027239227714
"I","bilateral","B","same_wp",1.5,2.25983305120509,0.759833051205086,0.77162647947984,0,26.844052619698,2.6027239227714
"I","bilateral","C","edu_diff",-1,-1.45118694059827,-0.451186940598267,0.460915123606462,0,26.8121616995803,2.62368197430093
"I","bilateral","C","same_wp",1.5,2.23669055554705,0.736690555547051,0.749344248642771,0,26.8121616995803,2.62368197430093
