"dgp","mechanism","target_accept_rate","threshold","n_pairs","pairing_rate","cor_edu","V_mean","V_sd"
"homophily","bilateral",0.1,0.765360991578941,498,0.996,0.976046366056359,-3.65900177276104,3.28218407993872
"homophily","bilateral",0.2,-0.210745839005185,499,0.998,0.964219178451863,-3.65900177276104,3.28218407993872
"homophily","bilateral",0.4,-1.69537984737476,498,0.996,0.924873258472457,-3.65900177276104,3.28218407993872
"homophily","bilateral",0.8,-5.84449472296698,500,1,0.61033381116241,-3.65900177276104,3.28218407993872
"status_max","bilateral",0.1,9.16476315627652,354,0.708,0.236969467649605,6.29540841199199,1.29673389520984
"status_max","bilateral",0.2,8.28933773901385,444,0.888,0.329381485536708,6.29540841199199,1.29673389520984
"status_max","bilateral",0.4,7.23810438904895,460,0.92,0.324262593025079,6.29540841199199,1.29673389520984
"status_max","bilateral",0.8,5.40998863836064,491,0.982,0.21351316963437,6.29540841199199,1.29673389520984
"homophily","deferred_acceptance",NA,NA,441,0.882,0.894866856062043,NA,NA
"status_max","deferred_acceptance",NA,NA,423,0.846,0.150256615879806,NA,NA
